Top pages,Clicks,Impressions,CTR,Position
https://www.sesmelbourne.com.au/,360,66893,0.54%,35.4
https://www.sesmelbourne.com.au/?utm_campaign=gmb,272,16386,1.66%,3.41
https://www.sesmelbourne.com.au/blog/comprehensive-guide-to-electrical-testing,29,11508,0.25%,37.53
https://www.sesmelbourne.com.au/services/data-and-tv,7,4578,0.15%,55.23
https://www.sesmelbourne.com.au/services/air-conditioning,7,3544,0.2%,65.84
https://www.sesmelbourne.com.au/services/telecommunications,7,3520,0.2%,44.46
https://www.sesmelbourne.com.au/services/renewable-energy,4,4507,0.09%,64.12
https://www.sesmelbourne.com.au/services/electrical-testing,4,1076,0.37%,45.38
https://www.sesmelbourne.com.au/blog/importance-of-electrical-testing,3,5487,0.05%,64.07
https://www.sesmelbourne.com.au/blog,1,462,0.22%,60.95
https://www.sesmelbourne.com.au/terms,1,225,0.44%,84.08
https://www.sesmelbourne.com.au/blog/unleash-the-power-of-your-entertainment,1,197,0.51%,48.91
https://www.sesmelbourne.com.au/blog/duel-power-of-efficient-lighting,1,79,1.27%,53.78
https://www.sesmelbourne.com.au/services/lighting,0,1158,0%,66.08
https://www.sesmelbourne.com.au/services/catering-maintenance,0,807,0%,44.79
https://www.sesmelbourne.com.au/blog/benefits-of-structured-cabling,0,641,0%,67.82
https://www.sesmelbourne.com.au/faq,0,370,0%,36.27
https://www.sesmelbourne.com.au/blog/maximising-efficiency-of-your-air-conditioner,0,233,0%,69.56
https://www.sesmelbourne.com.au/blog/illuminate-your-space,0,179,0%,63.12
https://www.sesmelbourne.com.au/blog/stay-connected-and-protected-role-of-ups-systems,0,150,0%,49.75
https://www.sesmelbourne.com.au/#about,0,42,0%,2.88
https://www.sesmelbourne.com.au/#contact,0,42,0%,2.88
https://www.sesmelbourne.com.au/#services,0,42,0%,2.88
https://www.sesmelbourne.com.au/blog/harnessing-the-power-of-renewables,0,35,0%,26.09
https://www.sesmelbourne.com.au/blog/tag/air-conditioning,0,12,0%,73.92
https://www.sesmelbourne.com.au/blog/tag/electrical-testing,0,7,0%,13
https://www.sesmelbourne.com.au/blog/VEEC-guide-air-conditioning,0,5,0%,6
https://www.sesmelbourne.com.au/blog/tag/split-system,0,4,0%,11.25
https://www.sesmelbourne.com.au/blog/tag/lighting,0,3,0%,11
https://www.sesmelbourne.com.au/blog/ensuring-safety-and-efficiency,0,2,0%,32.5
https://www.sesmelbourne.com.au/_next/image?url=https://cdn.sanity.io/images/j7d3pd5g/production/d7a5a2f3e79eda5a46773796baf607b88bae8656-800x533.webp&w=1920&q=75,0,1,0%,15
