Date,Clicks,Impressions,CTR,Position
2025-03-06,3,291,1.03%,43.5
2025-03-07,1,282,0.35%,42.8
2025-03-08,0,267,0%,45.5
2025-03-09,1,220,0.45%,47.2
2025-03-10,2,333,0.6%,34.8
2025-03-11,3,287,1.05%,37.2
2025-03-12,4,335,1.19%,38.7
2025-03-13,3,289,1.04%,41.3
2025-03-14,1,305,0.33%,37.7
2025-03-15,1,247,0.4%,44.5
2025-03-16,1,207,0.48%,48.7
2025-03-17,2,282,0.71%,37.2
2025-03-18,1,268,0.37%,41
2025-03-19,0,304,0%,40.1
2025-03-20,0,396,0%,37.7
2025-03-21,0,343,0%,44.4
2025-03-22,0,274,0%,48.6
2025-03-23,1,266,0.38%,49.6
2025-03-24,4,311,1.29%,41.1
2025-03-25,5,351,1.42%,39.6
2025-03-26,3,335,0.9%,37.4
2025-03-27,6,322,1.86%,42.6
2025-03-28,0,343,0%,36.7
2025-03-29,2,324,0.62%,45.4
2025-03-30,1,272,0.37%,47.2
2025-03-31,7,307,2.28%,43.9
2025-04-01,1,267,0.37%,44.6
2025-04-02,3,277,1.08%,45.4
2025-04-03,1,310,0.32%,43.1
2025-04-04,1,329,0.3%,40.9
2025-04-05,0,251,0%,48.4
2025-04-06,2,209,0.96%,50
2025-04-07,3,264,1.14%,42.4
2025-04-08,5,339,1.47%,38.7
2025-04-09,0,282,0%,42.8
2025-04-10,2,316,0.63%,45
2025-04-11,0,333,0%,41.3
2025-04-12,0,303,0%,48.5
2025-04-13,2,264,0.76%,45.1
2025-04-14,5,324,1.54%,44.7
2025-04-15,0,341,0%,42.9
2025-04-16,2,333,0.6%,38.5
2025-04-17,0,303,0%,42.3
2025-04-18,0,369,0%,39.1
2025-04-19,0,320,0%,43.6
2025-04-20,0,276,0%,47.2
2025-04-21,1,391,0.26%,43.3
2025-04-22,0,425,0%,41.9
2025-04-23,2,349,0.57%,39.4
2025-04-24,0,383,0%,41.6
2025-04-25,4,450,0.89%,37.6
2025-04-26,1,332,0.3%,43.1
2025-04-27,1,341,0.29%,45.7
2025-04-28,0,404,0%,41.8
2025-04-29,4,361,1.11%,38.2
2025-04-30,5,359,1.39%,40.7
2025-05-01,3,376,0.8%,42.3
2025-05-02,0,417,0%,41.2
2025-05-03,0,293,0%,42.8
2025-05-04,5,306,1.63%,47.3
2025-05-05,1,328,0.3%,41.4
2025-05-06,3,340,0.88%,40.3
2025-05-07,0,354,0%,40.9
2025-05-08,4,331,1.21%,38.8
2025-05-09,0,361,0%,37.6
2025-05-10,0,275,0%,42.3
2025-05-11,3,344,0.87%,43.9
2025-05-12,2,344,0.58%,38.7
2025-05-13,3,303,0.99%,38
2025-05-14,0,377,0%,38.6
2025-05-15,0,322,0%,37.2
2025-05-16,2,375,0.53%,35.3
2025-05-17,0,323,0%,43.6
2025-05-18,1,337,0.3%,43.1
2025-05-19,4,381,1.05%,38.9
2025-05-20,2,385,0.52%,40.2
2025-05-21,3,350,0.86%,36.8
2025-05-22,2,372,0.54%,40.9
2025-05-23,3,324,0.93%,33.1
2025-05-24,3,274,1.09%,43.3
2025-05-25,2,255,0.78%,42
2025-05-26,7,407,1.72%,40
2025-05-27,2,332,0.6%,37.2
2025-05-28,2,307,0.65%,35.6
2025-05-29,3,381,0.79%,38.5
2025-05-30,1,314,0.32%,34.2
2025-05-31,1,276,0.36%,44.2
2025-06-01,1,274,0.36%,44.5
2025-06-02,1,335,0.3%,36.9
2025-06-03,1,344,0.29%,37.8
2025-06-04,0,347,0%,37.7
2025-06-05,1,347,0.29%,39.3
2025-06-06,1,374,0.27%,34.3
2025-06-07,3,319,0.94%,43
2025-06-08,1,233,0.43%,41
2025-06-09,8,353,2.27%,36.7
2025-06-10,3,330,0.91%,35.5
2025-06-11,2,375,0.53%,35.9
2025-06-12,3,352,0.85%,37.5
2025-06-13,1,454,0.22%,38.7
2025-06-14,3,284,1.06%,41.2
2025-06-15,4,402,1%,45.3
2025-06-16,2,502,0.4%,43.4
2025-06-17,6,368,1.63%,41.5
2025-06-18,1,357,0.28%,36.4
2025-06-19,2,406,0.49%,40.6
2025-06-20,0,403,0%,34.5
2025-06-21,1,379,0.26%,39.1
2025-06-22,6,448,1.34%,41.6
2025-06-23,2,367,0.54%,34.4
2025-06-24,2,406,0.49%,37.5
2025-06-25,2,355,0.56%,35.6
2025-06-26,0,441,0%,38.1
2025-06-27,1,366,0.27%,31.9
2025-06-28,0,344,0%,42.4
2025-06-29,3,344,0.87%,41.4
2025-06-30,4,402,1%,37.7
2025-07-01,1,355,0.28%,37.8
2025-07-02,5,433,1.15%,40.5
2025-07-03,2,318,0.63%,41.4
2025-07-04,1,427,0.23%,39.6
2025-07-05,2,353,0.57%,43.7
2025-07-06,2,357,0.56%,43.1
2025-07-07,1,393,0.25%,40.8
2025-07-08,4,387,1.03%,40.1
2025-07-09,1,317,0.32%,36.9
2025-07-10,2,358,0.56%,43.1
2025-07-11,0,412,0%,38.1
2025-07-12,0,366,0%,46.8
2025-07-13,4,313,1.28%,45.5
2025-07-14,0,371,0%,41.6
2025-07-15,0,336,0%,40.7
2025-07-16,2,384,0.52%,45.4
2025-07-17,1,355,0.28%,42.1
2025-07-18,2,502,0.4%,44.5
2025-07-19,2,392,0.51%,47.7
2025-07-20,4,392,1.02%,46.9
2025-07-21,1,473,0.21%,48.4
2025-07-22,3,440,0.68%,45.2
2025-07-23,5,430,1.16%,41.6
2025-07-24,0,418,0%,44.4
2025-07-25,1,403,0.25%,43.2
2025-07-26,1,359,0.28%,46.1
2025-07-27,4,409,0.98%,45.6
2025-07-28,3,443,0.68%,43.5
2025-07-29,1,393,0.25%,43.5
2025-07-30,1,410,0.24%,42.2
2025-07-31,2,382,0.52%,43.8
2025-08-01,0,422,0%,44
2025-08-02,0,324,0%,45.8
2025-08-03,1,392,0.26%,48
2025-08-04,3,435,0.69%,43.3
2025-08-05,1,409,0.24%,43.7
2025-08-06,2,390,0.51%,44.1
2025-08-07,1,408,0.25%,47.2
2025-08-08,3,373,0.8%,43.3
2025-08-09,2,329,0.61%,47
2025-08-10,1,384,0.26%,53.1
2025-08-11,4,391,1.02%,44.8
2025-08-12,2,285,0.7%,44.3
2025-08-13,3,313,0.96%,42.9
2025-08-14,2,300,0.67%,44.3
2025-08-15,0,381,0%,45.1
2025-08-16,2,307,0.65%,49.7
2025-08-17,3,305,0.98%,45
2025-08-18,0,342,0%,43.9
2025-08-19,2,366,0.55%,46.3
2025-08-20,4,380,1.05%,45.2
2025-08-21,3,312,0.96%,48.6
2025-08-22,1,346,0.29%,42.7
2025-08-23,0,351,0%,44.7
2025-08-24,1,370,0.27%,50.9
2025-08-25,3,359,0.84%,46
2025-08-26,3,337,0.89%,42.3
2025-08-27,1,368,0.27%,46.8
2025-08-28,2,335,0.6%,48.6
2025-08-29,0,353,0%,47.7
2025-08-30,0,323,0%,50.5
2025-08-31,0,359,0%,50.7
2025-09-01,1,385,0.26%,50.3
2025-09-02,4,407,0.98%,47
2025-09-03,1,423,0.24%,51.5
2025-09-04,0,427,0%,52.6
2025-09-05,2,496,0.4%,53.1
2025-09-06,0,365,0%,51.2
2025-09-07,2,394,0.51%,52.1
2025-09-08,2,444,0.45%,48
2025-09-09,2,397,0.5%,46.5
2025-09-10,5,367,1.36%,46.3
2025-09-11,1,315,0.32%,46.9
2025-09-12,1,211,0.47%,35.8
2025-09-13,0,205,0%,39.8
2025-09-14,0,130,0%,37
2025-09-15,9,212,4.25%,27.8
2025-09-16,2,154,1.3%,31.6
2025-09-17,2,208,0.96%,32.9
2025-09-18,3,167,1.8%,35.3
2025-09-19,0,236,0%,31.2
2025-09-20,1,235,0.43%,33.1
2025-09-21,4,150,2.67%,24.2
2025-09-22,4,174,2.3%,37.1
2025-09-23,4,195,2.05%,29.4
2025-09-24,5,231,2.16%,30
2025-09-25,1,137,0.73%,29
2025-09-26,1,236,0.42%,35
2025-09-27,0,165,0%,35.1
2025-09-28,3,139,2.16%,31.7
2025-09-29,3,270,1.11%,32.2
2025-09-30,0,314,0%,33.2
2025-10-01,4,185,2.16%,33
2025-10-02,1,179,0.56%,31
2025-10-03,2,138,1.45%,30.1
2025-10-04,2,159,1.26%,29
2025-10-05,2,187,1.07%,26.9
