Country,Clicks,Impressions,CTR,Position
Australia,625,71117,0.88%,35.06
India,13,1563,0.83%,40.55
Philippines,8,509,1.57%,27.74
Pakistan,7,292,2.4%,32.67
Egypt,6,192,3.12%,41.69
Sweden,4,87,4.6%,39.16
United States,3,12238,0.02%,45.84
Vietnam,3,1138,0.26%,45.31
Mexico,3,375,0.8%,41.67
Bangladesh,3,341,0.88%,33.5
Italy,2,1657,0.12%,53.73
Indonesia,2,351,0.57%,43.85
Kenya,2,158,1.27%,19.34
Ghana,2,64,3.12%,12.39
China,2,30,6.67%,31.6
Canada,1,501,0.2%,36.62
South Africa,1,353,0.28%,32.86
Japan,1,244,0.41%,48.5
Ireland,1,199,0.5%,43.25
Oman,1,36,2.78%,31.17
Hungary,1,27,3.7%,42.85
Madagascar,1,13,7.69%,24.08
Brazil,0,4309,0%,42.34
United Kingdom,0,2075,0%,38.9
South Korea,0,1059,0%,44.4
Russia,0,1016,0%,45.33
Germany,0,545,0%,39.95
France,0,446,0%,46.56
Argentina,0,392,0%,38.72
Lithuania,0,331,0%,56.34
Turkey,0,316,0%,31.82
Malaysia,0,303,0%,34.79
Ecuador,0,281,0%,44.44
Singapore,0,278,0%,60.12
Spain,0,257,0%,38.94
Saudi Arabia,0,230,0%,38.18
Ukraine,0,215,0%,40.38
Taiwan,0,212,0%,43.03
Colombia,0,176,0%,38.88
Denmark,0,167,0%,40.66
Netherlands,0,166,0%,45.26
Iraq,0,155,0%,30
Venezuela,0,152,0%,40.39
United Arab Emirates,0,147,0%,48.48
Morocco,0,141,0%,48.19
Uzbekistan,0,136,0%,27.47
Poland,0,123,0%,41.23
New Zealand,0,118,0%,39.83
Nepal,0,99,0%,35.1
Jordan,0,93,0%,30.59
Thailand,0,92,0%,41.61
Algeria,0,92,0%,42.8
Tunisia,0,87,0%,42.34
Chile,0,84,0%,43.3
Latvia,0,84,0%,59.87
Jamaica,0,77,0%,38.17
Peru,0,77,0%,42.47
Trinidad & Tobago,0,75,0%,36.44
Paraguay,0,75,0%,42.52
Hong Kong,0,75,0%,46.17
Romania,0,73,0%,43.95
Unknown Region,0,72,0%,45.38
Kazakhstan,0,69,0%,36.23
Israel,0,63,0%,30.71
Dominican Republic,0,63,0%,40.57
Barbados,0,53,0%,28.42
Nigeria,0,53,0%,38.7
Iran,0,51,0%,38.33
Uruguay,0,48,0%,34.27
Portugal,0,47,0%,32.09
Belarus,0,47,0%,35.64
Azerbaijan,0,45,0%,31.27
Bulgaria,0,45,0%,39.33
