Date,Clicks,Impressions,CTR,Position
2026-01-17,0,201,0%,37.1
2026-01-18,3,312,0.96%,25.5
2026-01-19,4,270,1.48%,27.9
2026-01-20,4,260,1.54%,28
2026-01-21,2,240,0.83%,27.5
2026-01-22,2,306,0.65%,30.2
2026-01-23,2,180,1.11%,33.5
2026-01-24,1,229,0.44%,34.6
2026-01-25,2,211,0.95%,24.4
2026-01-26,4,224,1.79%,20.6
2026-01-27,1,250,0.4%,21.2
2026-01-28,3,218,1.38%,21.6
2026-01-29,4,170,2.35%,17.8
2026-01-30,0,287,0%,23.9
2026-01-31,2,201,1%,25.7
2026-02-01,4,238,1.68%,22.4
2026-02-02,1,243,0.41%,23.1
2026-02-03,1,204,0.49%,19.8
2026-02-04,1,228,0.44%,19.7
2026-02-05,0,238,0%,22.5
2026-02-06,0,132,0%,22.4
2026-02-07,1,279,0.36%,21.3
2026-02-08,4,321,1.25%,13
2026-02-09,2,244,0.82%,23
2026-02-10,5,273,1.83%,22.7
2026-02-11,5,354,1.41%,21.8
2026-02-12,2,270,0.74%,20.9
2026-02-13,0,225,0%,25
2026-02-14,0,209,0%,27.5
2026-02-15,3,413,0.73%,20.7
2026-02-16,4,331,1.21%,24.1
2026-02-17,4,288,1.39%,24.1
2026-02-18,2,367,0.54%,16.7
2026-02-19,2,355,0.56%,21.1
2026-02-20,3,272,1.1%,25.4
2026-02-21,2,257,0.78%,29.2
2026-02-22,1,310,0.32%,23
2026-02-23,3,322,0.93%,20.2
2026-02-24,2,271,0.74%,21
2026-02-25,4,359,1.11%,22.4
2026-02-26,1,357,0.28%,20.9
2026-02-27,2,317,0.63%,25.7
2026-02-28,2,280,0.71%,27.3
2026-03-01,4,337,1.19%,26.4
2026-03-02,2,380,0.53%,24.5
2026-03-03,1,375,0.27%,30.4
2026-03-04,3,398,0.75%,25
2026-03-05,1,331,0.3%,26
2026-03-06,4,313,1.28%,30.2
2026-03-07,1,316,0.32%,29.9
2026-03-08,2,282,0.71%,28
2026-03-09,4,457,0.88%,25.8
2026-03-10,2,382,0.52%,31.3
2026-03-11,3,345,0.87%,30.4
2026-03-12,2,397,0.5%,29
2026-03-13,1,277,0.36%,31.7
2026-03-14,2,289,0.69%,28.2
2026-03-15,0,223,0%,26.9
2026-03-16,2,283,0.71%,30.6
2026-03-17,0,254,0%,26.9
2026-03-18,5,266,1.88%,33.9
2026-03-19,2,339,0.59%,40.6
2026-03-20,1,328,0.3%,42
2026-03-21,0,311,0%,43.1
2026-03-22,2,389,0.51%,40.2
2026-03-23,0,328,0%,37.4
2026-03-24,0,282,0%,38
2026-03-25,0,253,0%,26.1
2026-03-26,4,287,1.39%,30.7
2026-03-27,1,357,0.28%,33.4
2026-03-28,1,315,0.32%,33.3
2026-03-29,1,380,0.26%,31.3
2026-03-30,2,364,0.55%,36.7
2026-03-31,1,326,0.31%,28.8
2026-04-01,0,317,0%,28.8
2026-04-02,2,176,1.14%,28.3
2026-04-03,1,182,0.55%,26
2026-04-04,0,166,0%,31.5
2026-04-05,1,206,0.49%,28
2026-04-06,2,265,0.75%,31
2026-04-07,0,267,0%,28.6
2026-04-08,0,272,0%,31.2
2026-04-09,2,266,0.75%,27.8
2026-04-10,0,224,0%,30.6
2026-04-11,2,227,0.88%,33.6
2026-04-12,2,338,0.59%,28
2026-04-13,2,338,0.59%,31.6
2026-04-14,3,289,1.04%,27.5
2026-04-15,2,301,0.66%,25.6
2026-04-16,1,300,0.33%,27.4
